Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:24:32.63;0.00:00:00:048;-0.02;-0.01;1.00;0.008576;-0.000138;-9.305E-05;0.008442;-73.01;44.44;98.46;98.44;1.94;0.008576;0.008444;0.0001321;-20.667;-20.734;-38.793;0.49;90.63;
2026-01-22 16:24:32.68;0.00:00:00:098;-0.02;-0.01;1.00;0.008557;-0.0001383;-9.374E-05;0.008424;-72.94;44.43;98.47;98.45;1.95;0.008557;0.008426;0.0001312;-20.677;-20.744;-38.820;0.49;90.64;
2026-01-22 16:24:32.73;0.00:00:00:146;-0.02;-0.01;1.00;0.008569;-0.0001381;-8.929E-05;0.008436;-73.56;44.44;98.47;98.45;1.92;0.008569;0.008438;0.0001315;-20.671;-20.738;-38.811;0.49;90.61;
2026-01-22 16:24:32.78;0.00:00:00:198;-0.02;-0.01;1.00;0.008587;-0.0001381;-9.179E-05;0.008453;-73.20;44.44;98.46;98.45;1.93;0.008587;0.008455;0.0001318;-20.662;-20.729;-38.800;0.49;90.62;
2026-01-22 16:24:32.83;0.00:00:00:248;-0.02;-0.01;1.00;0.00858;-0.0001388;-9.168E-05;0.008447;-73.28;44.44;98.47;98.45;1.94;0.00858;0.008448;0.0001317;-20.665;-20.732;-38.804;0.49;90.62;
2026-01-22 16:24:32.88;0.00:00:00:295;-0.02;-0.01;1.00;0.008584;-0.0001385;-9.132E-05;0.008449;-73.30;44.44;98.45;98.43;1.93;0.008584;0.008451;0.0001329;-20.663;-20.731;-38.764;0.49;90.62;
2026-01-22 16:24:32.93;0.00:00:00:347;-0.02;-0.01;1.00;0.008549;-0.0001393;-9.28E-05;0.008416;-73.16;44.43;98.46;98.44;1.96;0.008549;0.008418;0.0001313;-20.681;-20.748;-38.816;0.49;90.63;
2026-01-22 16:24:32.98;0.00:00:00:395;-0.02;-0.01;1.00;0.008544;-0.0001382;-9.096E-05;0.008411;-73.33;44.44;98.46;98.44;1.94;0.008544;0.008412;0.0001314;-20.684;-20.751;-38.813;0.49;90.62;
2026-01-22 16:24:33.03;0.00:00:00:443;-0.02;-0.01;1.00;0.008545;-0.0001378;-9.089E-05;0.008412;-73.29;44.44;98.46;98.44;1.93;0.008545;0.008414;0.000132;-20.683;-20.750;-38.796;0.49;90.62;
2026-01-22 16:24:33.08;0.00:00:00:493;-0.02;-0.01;1.00;0.00853;-0.0001385;-9.276E-05;0.008397;-73.09;44.43;98.46;98.44;1.95;0.00853;0.008399;0.0001313;-20.691;-20.758;-38.819;0.49;90.63;
2026-01-22 16:24:33.12;0.00:00:00:539;-0.02;-0.01;1.00;0.008509;-0.0001367;-9.334E-05;0.008375;-72.84;44.43;98.45;98.43;1.95;0.008509;0.008377;0.0001319;-20.701;-20.769;-38.799;0.49;90.64;
2026-01-22 16:24:33.17;0.00:00:00:588;-0.02;-0.01;1.00;0.008466;-0.0001361;-9.005E-05;0.008333;-73.25;44.44;98.45;98.43;1.93;0.008466;0.008335;0.0001313;-20.723;-20.791;-38.816;0.49;90.62;
2026-01-22 16:24:33.22;0.00:00:00:637;-0.02;-0.01;1.00;0.008474;-0.0001389;-9.052E-05;0.008342;-73.45;44.43;98.46;98.44;1.96;0.008474;0.008343;0.0001306;-20.719;-20.787;-38.842;0.49;90.62;
2026-01-22 16:24:33.27;0.00:00:00:684;-0.02;-0.01;1.00;0.008483;-0.0001357;-8.964E-05;0.008349;-73.28;44.44;98.45;98.43;1.92;0.008483;0.008351;0.0001319;-20.715;-20.783;-38.799;0.49;90.62;
2026-01-22 16:24:33.32;0.00:00:00:734;-0.02;-0.01;1.00;0.008496;-0.000138;-9.056E-05;0.008363;-73.36;44.43;98.46;98.44;1.94;0.008496;0.008364;0.0001312;-20.708;-20.776;-38.821;0.49;90.62;
2026-01-22 16:24:33.37;0.00:00:00:782;-0.02;-0.01;1.00;0.008499;-0.0001386;-9.035E-05;0.008365;-73.45;44.43;98.44;98.42;1.95;0.008499;0.008366;0.0001327;-20.706;-20.775;-38.771;0.49;90.62;
2026-01-22 16:24:33.41;0.00:00:00:829;-0.02;-0.01;1.00;0.008479;-0.0001385;-8.878E-05;0.008345;-73.67;44.44;98.44;98.42;1.94;0.008479;0.008347;0.0001322;-20.716;-20.785;-38.788;0.49;90.61;
2026-01-22 16:24:33.46;0.00:00:00:877;-0.02;-0.01;1.00;0.008494;-0.000139;-8.914E-05;0.008362;-73.67;44.43;98.46;98.44;1.94;0.008494;0.008363;0.000131;-20.709;-20.776;-38.828;0.49;90.61;
2026-01-22 16:24:33.51;0.00:00:00:924;-0.02;-0.01;1.00;0.008513;-0.0001367;-8.895E-05;0.008379;-73.47;44.44;98.45;98.43;1.92;0.008513;0.008381;0.0001321;-20.699;-20.767;-38.791;0.49;90.61;
2026-01-22 16:24:33.56;0.00:00:00:972;-0.02;-0.01;1.00;0.00852;-0.0001372;-9.218E-05;0.008385;-73.05;44.44;98.44;98.42;1.94;0.00852;0.008386;0.0001332;-20.696;-20.764;-38.754;0.49;90.63;
2026-01-22 16:24:33.61;0.00:00:01:024;-0.02;-0.01;1.00;0.008505;-0.0001377;-9.075E-05;0.008371;-73.30;44.44;98.44;98.42;1.94;0.008505;0.008373;0.0001325;-20.703;-20.771;-38.779;0.49;90.62;
2026-01-22 16:24:33.66;0.00:00:01:072;-0.02;-0.01;1.00;0.008504;-0.0001376;-8.949E-05;0.008371;-73.48;44.44;98.45;98.43;1.93;0.008504;0.008373;0.0001317;-20.704;-20.771;-38.803;0.49;90.61;
2026-01-22 16:24:33.70;0.00:00:01:119;-0.02;-0.01;1.00;0.008512;-0.0001371;-9.112E-05;0.008378;-73.20;44.44;98.45;98.43;1.93;0.008512;0.00838;0.0001319;-20.700;-20.768;-38.797;0.49;90.62;
2026-01-22 16:24:33.76;0.00:00:01:170;-0.02;-0.01;1.00;0.008507;-0.0001386;-9.081E-05;0.008373;-73.38;44.43;98.45;98.43;1.95;0.008507;0.008375;0.000132;-20.702;-20.770;-38.795;0.49;90.62;
2026-01-22 16:24:33.80;0.00:00:01:217;-0.02;-0.01;1.00;0.008512;-0.0001377;-8.984E-05;0.008379;-73.44;44.44;98.45;98.43;1.93;0.008512;0.008381;0.0001318;-20.699;-20.767;-38.801;0.49;90.61;
2026-01-22 16:24:33.85;0.00:00:01:267;-0.02;-0.01;1.00;0.008532;-0.0001382;-9.267E-05;0.008398;-73.08;44.43;98.45;98.43;1.95;0.008532;0.0084;0.0001319;-20.689;-20.757;-38.797;0.49;90.63;
2026-01-22 16:24:33.90;0.00:00:01:317;-0.02;-0.01;1.00;0.008523;-0.0001381;-9.078E-05;0.008389;-73.34;44.44;98.45;98.43;1.94;0.008523;0.008391;0.000132;-20.694;-20.762;-38.796;0.49;90.62;
2026-01-22 16:24:33.95;0.00:00:01:364;-0.02;-0.01;1.00;0.008569;-0.0001365;-8.939E-05;0.008434;-73.39;44.45;98.44;98.42;1.90;0.008569;0.008436;0.0001336;-20.671;-20.739;-38.740;0.49;90.61;
2026-01-22 16:24:34.00;0.00:00:01:413;-0.02;-0.01;1.00;0.008595;-0.0001373;-8.995E-05;0.00846;-73.38;44.44;98.45;98.43;1.91;0.008595;0.008462;0.000133;-20.658;-20.725;-38.761;0.49;90.61;
2026-01-22 16:24:34.05;0.00:00:01:464;-0.02;-0.01;1.00;0.008608;-0.0001403;-9.125E-05;0.008474;-73.48;44.43;98.46;98.44;1.94;0.008608;0.008476;0.0001323;-20.651;-20.718;-38.783;0.49;90.62;
2026-01-22 16:24:34.10;0.00:00:01:514;-0.02;-0.01;1.00;0.008611;-0.0001385;-9.235E-05;0.008477;-73.15;44.44;98.47;98.45;1.93;0.008611;0.008478;0.0001321;-20.650;-20.717;-38.790;0.49;90.62;
2026-01-22 16:24:34.15;0.00:00:01:564;-0.02;-0.01;1.00;0.008584;-0.0001392;-9.226E-05;0.00845;-73.23;44.43;98.46;98.44;1.95;0.008584;0.008452;0.000132;-20.663;-20.730;-38.793;0.49;90.63;
2026-01-22 16:24:34.20;0.00:00:01:611;-0.02;-0.01;1.00;0.008581;-0.0001391;-9.115E-05;0.008447;-73.38;44.44;98.46;98.44;1.94;0.008581;0.008449;0.0001323;-20.665;-20.732;-38.785;0.49;90.62;
2026-01-22 16:24:34.25;0.00:00:01:660;-0.02;-0.01;1.00;0.008574;-0.0001407;-9.153E-05;0.00844;-73.47;44.43;98.46;98.44;1.96;0.008574;0.008442;0.0001318;-20.668;-20.736;-38.800;0.49;90.62;
2026-01-22 16:24:34.29;0.00:00:01:709;-0.02;-0.01;1.00;0.008586;-0.0001404;-9.125E-05;0.008453;-73.49;44.43;98.47;98.45;1.95;0.008586;0.008454;0.0001314;-20.662;-20.729;-38.816;0.49;90.62;
2026-01-22 16:24:34.34;0.00:00:01:758;-0.02;-0.01;1.00;0.008586;-0.0001395;-9.126E-05;0.008454;-73.40;44.44;98.47;98.45;1.94;0.008586;0.008455;0.0001312;-20.662;-20.729;-38.820;0.49;90.62;
2026-01-22 16:24:34.39;0.00:00:01:808;-0.02;-0.01;1.00;0.008598;-0.0001397;-8.991E-05;0.008466;-73.61;44.44;98.48;98.46;1.93;0.008598;0.008468;0.0001309;-20.656;-20.722;-38.832;0.49;90.61;
2026-01-22 16:24:34.44;0.00:00:01:858;-0.02;-0.01;1.00;0.00862;-0.0001378;-8.971E-05;0.008488;-73.47;44.45;98.48;98.46;1.91;0.00862;0.008489;0.000131;-20.645;-20.711;-38.829;0.49;90.61;
2026-01-22 16:24:34.49;0.00:00:01:907;-0.02;-0.01;1.00;0.008692;-0.0001386;-8.919E-05;0.008559;-73.62;44.45;98.48;98.47;1.90;0.008692;0.008561;0.0001318;-20.609;-20.675;-38.801;0.49;90.60;
2026-01-22 16:24:34.54;0.00:00:01:956;-0.02;-0.01;1.00;0.008687;-0.0001402;-9.298E-05;0.008553;-73.23;44.44;98.48;98.46;1.94;0.008687;0.008555;0.0001318;-20.611;-20.678;-38.802;0.49;90.62;
2026-01-22 16:24:34.59;0.00:00:02:004;-0.02;-0.01;1.00;0.008738;-0.0001398;-9.003E-05;0.008605;-73.61;44.45;98.50;98.48;1.90;0.008738;0.008607;0.0001314;-20.586;-20.652;-38.812;0.49;90.60;
2026-01-22 16:24:34.64;0.00:00:02:050;-0.02;-0.01;1.00;0.008732;-0.0001408;-9.252E-05;0.008599;-73.34;44.44;98.50;98.48;1.93;0.008732;0.008601;0.0001314;-20.589;-20.655;-38.815;0.49;90.62;
2026-01-22 16:24:34.69;0.00:00:02:100;-0.02;-0.01;1.00;0.008754;-0.0001406;-9.106E-05;0.00862;-73.53;44.44;98.49;98.47;1.91;0.008754;0.008622;0.0001322;-20.578;-20.644;-38.787;0.49;90.61;
2026-01-22 16:24:34.73;0.00:00:02:148;-0.02;-0.01;1.00;0.008728;-0.0001428;-8.921E-05;0.008594;-74.00;44.44;98.49;98.47;1.93;0.008728;0.008596;0.0001315;-20.591;-20.657;-38.812;0.49;90.59;
2026-01-22 16:24:34.78;0.00:00:02:196;-0.02;-0.01;1.00;0.008742;-0.0001418;-9.15E-05;0.008608;-73.58;44.44;98.49;98.47;1.93;0.008742;0.00861;0.000132;-20.584;-20.650;-38.794;0.49;90.61;
2026-01-22 16:24:34.83;0.00:00:02:248;-0.02;-0.01;1.00;0.008769;-0.0001415;-8.872E-05;0.008635;-73.95;44.45;98.49;98.48;1.90;0.008769;0.008637;0.000132;-20.570;-20.636;-38.795;0.49;90.59;
2026-01-22 16:24:34.88;0.00:00:02:294;-0.02;-0.01;1.00;0.008779;-0.0001429;-9.013E-05;0.008647;-73.88;44.44;98.51;98.49;1.92;0.008779;0.008648;0.0001309;-20.565;-20.631;-38.831;0.49;90.60;
2026-01-22 16:24:34.93;0.00:00:02:344;-0.02;-0.01;1.00;0.008772;-0.0001422;-9.264E-05;0.008641;-73.46;44.44;98.52;98.50;1.93;0.008772;0.008643;0.0001296;-20.569;-20.633;-38.874;0.49;90.61;
2026-01-22 16:24:34.98;0.00:00:02:393;-0.02;-0.01;1.00;0.008789;-0.0001422;-9.206E-05;0.008657;-73.54;44.44;98.52;98.50;1.93;0.008789;0.008659;0.0001304;-20.560;-20.625;-38.846;0.49;90.61;
2026-01-22 16:24:35.03;0.00:00:02:443;-0.02;-0.01;1.00;0.008793;-0.0001426;-9.096E-05;0.00866;-73.74;44.44;98.52;98.50;1.92;0.008793;0.008662;0.0001304;-20.559;-20.624;-38.847;0.49;90.60;
2026-01-22 16:24:35.08;0.00:00:02:493;-0.02;-0.01;1.00;0.008741;-0.0001417;-9.56E-05;0.008608;-73.00;44.43;98.50;98.48;1.96;0.008741;0.00861;0.0001312;-20.584;-20.650;-38.822;0.49;90.64;
2026-01-22 16:24:35.13;0.00:00:02:540;-0.02;-0.01;1.00;0.008724;-0.0001385;-9.378E-05;0.00859;-72.95;44.44;98.48;98.46;1.92;0.008724;0.008591;0.0001327;-20.593;-20.659;-38.773;0.49;90.63;
2026-01-22 16:24:35.17;0.00:00:02:587;-0.02;-0.01;1.00;0.008728;-0.0001408;-9.247E-05;0.008593;-73.36;44.44;98.48;98.46;1.93;0.008728;0.008595;0.0001331;-20.591;-20.658;-38.758;0.49;90.62;
2026-01-22 16:24:35.22;0.00:00:02:638;-0.02;-0.01;1.00;0.008728;-0.0001425;-9.264E-05;0.008593;-73.48;44.43;98.46;98.44;1.95;0.008728;0.008594;0.0001341;-20.591;-20.658;-38.727;0.49;90.62;
2026-01-22 16:24:35.27;0.00:00:02:688;-0.02;-0.01;1.00;0.008679;-0.0001407;-9.356E-05;0.008545;-73.19;44.43;98.47;98.45;1.95;0.008679;0.008547;0.0001325;-20.615;-20.682;-38.777;0.49;90.63;
2026-01-22 16:24:35.32;0.00:00:02:735;-0.02;-0.01;1.00;0.008661;-0.0001418;-9.419E-05;0.008526;-73.21;44.43;98.46;98.44;1.97;0.008661;0.008528;0.0001331;-20.624;-20.692;-38.760;0.49;90.63;
2026-01-22 16:24:35.37;0.00:00:02:784;-0.02;-0.01;1.00;0.008648;-0.0001411;-9.032E-05;0.008513;-73.69;44.44;98.45;98.44;1.94;0.008648;0.008515;0.0001336;-20.631;-20.698;-38.740;0.49;90.61;
2026-01-22 16:24:35.42;0.00:00:02:831;-0.02;-0.01;1.00;0.008695;-0.0001438;-8.792E-05;0.008563;-74.28;44.44;98.49;98.47;1.94;0.008695;0.008564;0.000131;-20.607;-20.673;-38.826;0.49;90.59;
2026-01-22 16:24:35.46;0.00:00:02:876;-0.02;-0.01;1.00;0.008698;-0.000143;-9.396E-05;0.008565;-73.35;44.43;98.49;98.47;1.97;0.008698;0.008567;0.0001312;-20.606;-20.672;-38.821;0.49;90.63;
2026-01-22 16:24:35.51;0.00:00:02:927;-0.02;-0.01;1.00;0.008675;-0.0001429;-9.433E-05;0.008543;-73.28;44.43;98.49;98.47;1.97;0.008675;0.008544;0.0001311;-20.617;-20.683;-38.824;0.49;90.63;
2026-01-22 16:24:35.56;0.00:00:02:975;-0.02;-0.01;1.00;0.008666;-0.0001398;-9.351E-05;0.008532;-73.11;44.44;98.47;98.45;1.94;0.008666;0.008533;0.0001325;-20.622;-20.689;-38.776;0.49;90.63;
2026-01-22 16:24:35.61;0.00:00:03:021;-0.02;-0.01;1.00;0.008638;-0.0001437;-9.007E-05;0.008507;-73.96;44.43;98.49;98.48;1.96;0.008638;0.008508;0.00013;-20.636;-20.701;-38.860;0.49;90.61;
2026-01-22 16:24:35.66;0.00:00:03:071;-0.02;-0.01;1.00;0.008646;-0.0001429;-9.128E-05;0.008514;-73.71;44.43;98.49;98.47;1.96;0.008646;0.008515;0.0001303;-20.632;-20.698;-38.850;0.49;90.61;
2026-01-22 16:24:35.71;0.00:00:03:120;-0.02;-0.01;1.00;0.008656;-0.00014;-9.197E-05;0.008524;-73.35;44.44;98.49;98.47;1.93;0.008656;0.008526;0.0001309;-20.627;-20.693;-38.831;0.49;90.62;
2026-01-22 16:24:35.76;0.00:00:03:171;-0.02;-0.01;1.00;0.008658;-0.0001387;-8.863E-05;0.008525;-73.71;44.45;98.48;98.46;1.90;0.008658;0.008527;0.0001314;-20.626;-20.692;-38.814;0.49;90.60;
2026-01-22 16:24:35.81;0.00:00:03:220;-0.02;-0.01;1.00;0.008678;-0.0001424;-9.172E-05;0.008544;-73.60;44.43;98.48;98.46;1.95;0.008678;0.008546;0.0001316;-20.616;-20.682;-38.808;0.49;90.61;
2026-01-22 16:24:35.85;0.00:00:03:267;-0.02;-0.01;1.00;0.00863;-0.0001411;-8.976E-05;0.008497;-73.77;44.44;98.48;98.46;1.94;0.00863;0.008499;0.0001311;-20.640;-20.706;-38.824;0.49;90.61;
2026-01-22 16:24:35.90;0.00:00:03:314;-0.02;-0.01;1.00;0.008634;-0.0001401;-9.16E-05;0.008502;-73.41;44.44;98.49;98.47;1.94;0.008634;0.008503;0.0001307;-20.638;-20.704;-38.836;0.49;90.62;
2026-01-22 16:24:35.95;0.00:00:03:363;-0.02;-0.01;1.00;0.008619;-0.0001404;-9.277E-05;0.008487;-73.27;44.43;98.48;98.46;1.95;0.008619;0.008488;0.000131;-20.645;-20.712;-38.826;0.49;90.63;
