Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:32:31.96;0.00:00:00:047;-0.01;-1.00;0.00;6.639;-0.0624;-6.608;0.004855;-45.27;0.02;99.53;0.07;99.53;6.639;6.608;0.03106;8.221;8.201;-15.078;0.50;179.96;
2026-01-22 14:32:32.01;0.00:00:00:096;-0.01;-1.00;0.00;6.644;-0.06283;-6.612;0.004763;-45.27;0.02;99.53;0.07;99.53;6.644;6.613;0.0309;8.224;8.204;-15.100;0.50;179.96;
2026-01-22 14:32:32.06;0.00:00:00:142;-0.01;-1.00;0.00;6.646;-0.06278;-6.615;0.004425;-45.27;0.02;99.54;0.07;99.54;6.646;6.615;0.0309;8.225;8.205;-15.100;0.50;179.96;
2026-01-22 14:32:32.11;0.00:00:00:194;-0.01;-1.00;0.00;6.65;-0.06227;-6.619;0.004581;-45.27;0.02;99.53;0.07;99.53;6.65;6.619;0.03115;8.228;8.208;-15.065;0.50;179.96;
2026-01-22 14:32:32.16;0.00:00:00:242;-0.01;-1.00;0.00;6.655;-0.06262;-6.623;0.004598;-45.27;0.02;99.53;0.07;99.53;6.655;6.623;0.03116;8.231;8.211;-15.064;0.50;179.96;
2026-01-22 14:32:32.20;0.00:00:00:289;-0.01;-1.00;0.00;6.654;-0.06198;-6.621;0.004966;-45.27;0.02;99.51;0.07;99.51;6.654;6.621;0.03276;8.231;8.209;-14.846;0.50;179.96;
2026-01-22 14:32:32.25;0.00:00:00:338;-0.01;-1.00;0.00;6.649;-0.06183;-6.616;0.004469;-45.27;0.02;99.51;0.07;99.51;6.649;6.616;0.03253;8.228;8.206;-14.878;0.50;179.96;
2026-01-22 14:32:32.30;0.00:00:00:385;-0.01;-1.00;0.00;6.646;-0.06188;-6.614;0.004561;-45.27;0.02;99.52;0.07;99.52;6.646;6.614;0.03158;8.226;8.205;-15.006;0.50;179.96;
2026-01-22 14:32:32.35;0.00:00:00:433;-0.01;-1.00;0.00;6.641;-0.06128;-6.608;0.004747;-45.27;0.02;99.51;0.07;99.51;6.641;6.608;0.03267;8.222;8.201;-14.858;0.50;179.96;
2026-01-22 14:32:32.40;0.00:00:00:483;-0.01;-1.00;0.00;6.637;-0.06155;-6.605;0.005156;-45.27;0.02;99.52;0.08;99.52;6.637;6.605;0.03179;8.220;8.199;-14.977;0.50;179.96;
2026-01-22 14:32:32.45;0.00:00:00:532;-0.01;-1.00;0.00;6.629;-0.06187;-6.598;0.004632;-45.27;0.02;99.53;0.07;99.53;6.629;6.598;0.03125;8.215;8.194;-15.052;0.50;179.96;
2026-01-22 14:32:32.49;0.00:00:00:581;-0.01;-1.00;0.00;6.629;-0.06241;-6.597;0.004727;-45.27;0.02;99.53;0.07;99.53;6.629;6.598;0.03139;8.215;8.194;-15.033;0.50;179.96;
2026-01-22 14:32:32.54;0.00:00:00:631;-0.01;-1.00;0.00;6.628;-0.06156;-6.595;0.0051;-45.27;0.02;99.51;0.08;99.51;6.628;6.596;0.03239;8.214;8.193;-14.896;0.50;179.96;
2026-01-22 14:32:32.59;0.00:00:00:679;-0.01;-1.00;0.00;6.628;-0.06167;-6.595;0.004205;-45.27;0.02;99.51;0.06;99.51;6.628;6.596;0.0324;8.214;8.193;-14.894;0.50;179.96;
2026-01-22 14:32:32.64;0.00:00:00:727;-0.01;-1.00;0.00;6.625;-0.06137;-6.593;0.004382;-45.27;0.02;99.51;0.07;99.51;6.625;6.593;0.03217;8.212;8.191;-14.925;0.50;179.96;
2026-01-22 14:32:32.69;0.00:00:00:775;-0.01;-1.00;0.00;6.623;-0.06178;-6.591;0.004365;-45.27;0.02;99.52;0.07;99.52;6.623;6.591;0.03196;8.211;8.190;-14.954;0.50;179.96;
2026-01-22 14:32:32.73;0.00:00:00:821;-0.01;-1.00;0.00;6.62;-0.06188;-6.588;0.004648;-45.27;0.02;99.53;0.07;99.53;6.62;6.588;0.03143;8.208;8.188;-15.026;0.50;179.96;
2026-01-22 14:32:32.79;0.00:00:00:872;-0.01;-1.00;0.00;6.62;-0.06252;-6.588;0.004407;-45.27;0.02;99.52;0.07;99.52;6.62;6.588;0.03166;8.209;8.188;-14.995;0.50;179.96;
2026-01-22 14:32:32.83;0.00:00:00:921;-0.01;-1.00;0.00;6.623;-0.06193;-6.59;0.004779;-45.27;0.02;99.51;0.07;99.51;6.623;6.59;0.03232;8.210;8.189;-14.905;0.50;179.96;
2026-01-22 14:32:32.88;0.00:00:00:971;-0.01;-1.00;0.00;6.622;-0.06344;-6.591;0.004561;-45.28;0.02;99.54;0.07;99.54;6.622;6.591;0.03046;8.210;8.190;-15.163;0.50;179.96;
2026-01-22 14:32:32.93;0.00:00:01:021;-0.01;-1.00;0.00;6.627;-0.06247;-6.596;0.004489;-45.27;0.02;99.53;0.07;99.53;6.627;6.596;0.03091;8.213;8.193;-15.099;0.50;179.96;
2026-01-22 14:32:32.98;0.00:00:01:070;-0.01;-1.00;0.00;6.635;-0.06247;-6.602;0.004702;-45.27;0.02;99.52;0.07;99.52;6.635;6.603;0.03181;8.218;8.197;-14.974;0.50;179.96;
2026-01-22 14:32:33.03;0.00:00:01:117;-0.01;-1.00;0.00;6.631;-0.06217;-6.598;0.004694;-45.27;0.02;99.51;0.07;99.51;6.631;6.599;0.03246;8.216;8.195;-14.886;0.50;179.96;
2026-01-22 14:32:33.08;0.00:00:01:168;-0.01;-1.00;0.00;6.624;-0.06207;-6.591;0.004755;-45.27;0.02;99.52;0.07;99.52;6.624;6.592;0.03193;8.211;8.190;-14.958;0.50;179.96;
2026-01-22 14:32:33.13;0.00:00:01:216;-0.01;-1.00;0.00;6.622;-0.06156;-6.59;0.004745;-45.27;0.02;99.52;0.07;99.52;6.622;6.59;0.03146;8.210;8.189;-15.023;0.50;179.96;
2026-01-22 14:32:33.18;0.00:00:01:264;-0.01;-1.00;0.00;6.622;-0.06224;-6.591;0.004359;-45.27;0.02;99.53;0.07;99.53;6.622;6.591;0.0308;8.210;8.190;-15.115;0.50;179.96;
2026-01-22 14:32:33.23;0.00:00:01:316;-0.01;-1.00;0.00;6.626;-0.06232;-6.596;0.004387;-45.27;0.02;99.54;0.07;99.54;6.626;6.596;0.03023;8.213;8.193;-15.196;0.50;179.96;
2026-01-22 14:32:33.28;0.00:00:01:364;-0.01;-1.00;0.00;6.629;-0.0623;-6.596;0.004658;-45.27;0.02;99.52;0.07;99.52;6.629;6.597;0.03193;8.214;8.193;-14.958;0.50;179.96;
2026-01-22 14:32:33.32;0.00:00:01:409;-0.01;-1.00;0.00;6.627;-0.06267;-6.595;0.00438;-45.27;0.02;99.52;0.07;99.52;6.627;6.595;0.03174;8.213;8.192;-14.984;0.50;179.96;
2026-01-22 14:32:33.37;0.00:00:01:459;-0.01;-1.00;0.00;6.626;-0.06127;-6.595;0.004518;-45.27;0.02;99.53;0.07;99.53;6.626;6.595;0.03124;8.213;8.192;-15.052;0.50;179.96;
2026-01-22 14:32:33.42;0.00:00:01:508;-0.01;-1.00;0.00;6.626;-0.06273;-6.595;0.004736;-45.27;0.02;99.54;0.07;99.54;6.626;6.595;0.03029;8.212;8.192;-15.187;0.50;179.96;
2026-01-22 14:32:33.47;0.00:00:01:559;-0.01;-1.00;0.00;6.627;-0.06236;-6.596;0.004364;-45.27;0.02;99.53;0.07;99.53;6.627;6.596;0.03093;8.213;8.193;-15.096;0.50;179.96;
2026-01-22 14:32:33.52;0.00:00:01:609;-0.01;-1.00;0.00;6.623;-0.06231;-6.592;0.004571;-45.27;0.02;99.54;0.07;99.54;6.623;6.592;0.03056;8.210;8.190;-15.148;0.50;179.96;
2026-01-22 14:32:33.57;0.00:00:01:658;-0.01;-1.00;0.00;6.63;-0.06225;-6.599;0.004839;-45.27;0.02;99.55;0.07;99.55;6.63;6.6;0.03005;8.215;8.195;-15.222;0.50;179.96;
2026-01-22 14:32:33.62;0.00:00:01:708;-0.01;-1.00;0.00;6.631;-0.06209;-6.599;0.004282;-45.27;0.02;99.53;0.06;99.53;6.631;6.599;0.03118;8.216;8.195;-15.061;0.50;179.96;
2026-01-22 14:32:33.67;0.00:00:01:760;-0.01;-1.00;0.00;6.635;-0.06296;-6.605;0.004781;-45.27;0.02;99.54;0.07;99.54;6.635;6.605;0.03064;8.219;8.199;-15.137;0.50;179.96;
2026-01-22 14:32:33.72;0.00:00:01:811;-0.01;-1.00;0.00;6.628;-0.06105;-6.595;0.004562;-45.27;0.02;99.51;0.07;99.51;6.628;6.596;0.03259;8.214;8.193;-14.869;0.50;179.96;
2026-01-22 14:32:33.77;0.00:00:01:857;-0.01;-1.00;0.00;6.62;-0.06064;-6.587;0.004357;-45.26;0.02;99.51;0.07;99.51;6.62;6.587;0.03213;8.208;8.187;-14.931;0.50;179.96;
2026-01-22 14:32:33.82;0.00:00:01:906;-0.01;-1.00;0.00;6.634;-0.06321;-6.604;0.00488;-45.27;0.02;99.55;0.07;99.55;6.634;6.605;0.02962;8.218;8.198;-15.284;0.50;179.96;
2026-01-22 14:32:33.87;0.00:00:01:953;-0.01;-1.00;0.00;6.638;-0.0617;-6.607;0.00497;-45.27;0.02;99.53;0.07;99.53;6.638;6.607;0.03097;8.221;8.200;-15.090;0.50;179.96;
2026-01-22 14:32:33.91;0.00:00:01:999;-0.01;-1.00;0.00;6.634;-0.06211;-6.601;0.004548;-45.27;0.02;99.50;0.07;99.50;6.634;6.601;0.03286;8.218;8.196;-14.834;0.50;179.96;
2026-01-22 14:32:33.96;0.00:00:02:049;-0.01;-1.00;0.00;6.628;-0.06181;-6.596;0.004545;-45.27;0.02;99.52;0.07;99.52;6.628;6.596;0.03194;8.214;8.193;-14.957;0.50;179.96;
2026-01-22 14:32:34.01;0.00:00:02:099;-0.01;-1.00;0.00;6.628;-0.06226;-6.597;0.0043;-45.27;0.02;99.54;0.06;99.54;6.628;6.597;0.03059;8.214;8.194;-15.145;0.50;179.96;
2026-01-22 14:32:34.06;0.00:00:02:149;-0.01;-1.00;0.00;6.629;-0.06187;-6.597;0.004677;-45.27;0.02;99.52;0.07;99.52;6.629;6.597;0.03157;8.214;8.194;-15.008;0.50;179.96;
2026-01-22 14:32:34.11;0.00:00:02:197;-0.01;-1.00;0.00;6.629;-0.06208;-6.597;0.00459;-45.27;0.02;99.52;0.07;99.52;6.629;6.598;0.03168;8.215;8.194;-14.992;0.50;179.96;
2026-01-22 14:32:34.16;0.00:00:02:247;-0.01;-1.00;0.00;6.637;-0.06236;-6.606;0.00433;-45.27;0.02;99.54;0.07;99.54;6.637;6.606;0.0308;8.220;8.199;-15.115;0.50;179.96;
2026-01-22 14:32:34.21;0.00:00:02:295;-0.01;-1.00;0.00;6.639;-0.06275;-6.608;0.004723;-45.27;0.02;99.53;0.07;99.53;6.639;6.609;0.03089;8.221;8.201;-15.102;0.50;179.96;
2026-01-22 14:32:34.26;0.00:00:02:344;-0.01;-1.00;0.00;6.635;-0.062;-6.603;0.004439;-45.27;0.02;99.52;0.07;99.52;6.635;6.603;0.03178;8.219;8.198;-14.979;0.50;179.96;
2026-01-22 14:32:34.31;0.00:00:02:392;-0.01;-1.00;0.00;6.633;-0.06128;-6.601;0.004318;-45.27;0.02;99.52;0.07;99.52;6.633;6.601;0.03175;8.217;8.196;-14.982;0.50;179.96;
2026-01-22 14:32:34.36;0.00:00:02:442;-0.01;-1.00;0.00;6.629;-0.06187;-6.597;0.004247;-45.27;0.02;99.52;0.06;99.52;6.629;6.597;0.03152;8.214;8.194;-15.014;0.50;179.96;
2026-01-22 14:32:34.41;0.00:00:02:492;-0.01;-1.00;0.00;6.628;-0.06168;-6.596;0.005333;-45.27;0.02;99.52;0.08;99.52;6.628;6.596;0.0318;8.214;8.193;-14.976;0.50;179.95;
2026-01-22 14:32:34.45;0.00:00:02:539;-0.01;-1.00;0.00;6.624;-0.06226;-6.592;0.005029;-45.27;0.02;99.53;0.08;99.53;6.624;6.593;0.03137;8.211;8.191;-15.034;0.50;179.96;
2026-01-22 14:32:34.50;0.00:00:02:585;-0.01;-1.00;0.00;6.623;-0.06281;-6.593;0.004721;-45.27;0.02;99.56;0.07;99.55;6.623;6.593;0.02947;8.210;8.191;-15.306;0.50;179.96;
2026-01-22 14:32:34.55;0.00:00:02:635;-0.01;-1.00;0.00;6.632;-0.06272;-6.602;0.005293;-45.27;0.02;99.54;0.08;99.54;6.632;6.602;0.03025;8.217;8.197;-15.193;0.50;179.95;
2026-01-22 14:32:34.60;0.00:00:02:685;-0.01;-1.00;0.00;6.632;-0.06304;-6.601;0.005049;-45.27;0.02;99.55;0.08;99.55;6.632;6.602;0.0301;8.216;8.196;-15.215;0.50;179.96;
2026-01-22 14:32:34.65;0.00:00:02:736;-0.01;-1.00;0.00;6.631;-0.06235;-6.601;0.004807;-45.27;0.02;99.54;0.07;99.54;6.631;6.601;0.0304;8.216;8.196;-15.171;0.50;179.96;
2026-01-22 14:32:34.70;0.00:00:02:786;-0.01;-1.00;0.00;6.625;-0.06262;-6.594;0.004953;-45.27;0.02;99.54;0.07;99.54;6.625;6.594;0.03048;8.212;8.192;-15.159;0.50;179.96;
2026-01-22 14:32:34.75;0.00:00:02:834;-0.01;-1.00;0.00;6.627;-0.06325;-6.597;0.004875;-45.27;0.02;99.55;0.07;99.55;6.627;6.597;0.02954;8.213;8.193;-15.296;0.50;179.96;
2026-01-22 14:32:34.79;0.00:00:02:881;-0.01;-1.00;0.00;6.633;-0.06308;-6.603;0.004629;-45.27;0.02;99.56;0.07;99.56;6.633;6.603;0.02943;8.217;8.198;-15.311;0.50;179.96;
2026-01-22 14:32:34.84;0.00:00:02:928;-0.01;-1.00;0.00;6.64;-0.06253;-6.61;0.005195;-45.27;0.02;99.56;0.08;99.56;6.64;6.611;0.02914;8.222;8.202;-15.356;0.50;179.95;
2026-01-22 14:32:34.89;0.00:00:02:977;-0.01;-1.00;0.00;6.642;-0.06254;-6.611;0.004998;-45.27;0.02;99.54;0.08;99.54;6.642;6.611;0.03081;8.223;8.203;-15.114;0.50;179.96;
2026-01-22 14:32:34.94;0.00:00:03:026;-0.01;-1.00;0.00;6.641;-0.06251;-6.61;0.005152;-45.27;0.02;99.54;0.08;99.54;6.641;6.611;0.03052;8.222;8.202;-15.154;0.50;179.96;
2026-01-22 14:32:34.99;0.00:00:03:075;-0.01;-1.00;0.00;6.636;-0.06228;-6.605;0.004859;-45.27;0.02;99.53;0.07;99.53;6.636;6.605;0.03102;8.219;8.199;-15.084;0.50;179.96;
2026-01-22 14:32:35.04;0.00:00:03:123;-0.01;-1.00;0.00;6.634;-0.0625;-6.603;0.005153;-45.27;0.02;99.54;0.08;99.54;6.634;6.603;0.03056;8.218;8.198;-15.149;0.50;179.96;
2026-01-22 14:32:35.09;0.00:00:03:176;-0.01;-1.00;0.00;6.632;-0.06265;-6.6;0.004871;-45.27;0.02;99.53;0.07;99.53;6.632;6.601;0.03096;8.216;8.196;-15.092;0.50;179.96;
2026-01-22 14:32:35.14;0.00:00:03:224;-0.01;-1.00;0.00;6.631;-0.06282;-6.6;0.004856;-45.27;0.02;99.54;0.07;99.54;6.631;6.601;0.03023;8.216;8.196;-15.196;0.50;179.96;
2026-01-22 14:32:35.19;0.00:00:03:272;-0.01;-1.00;0.00;6.631;-0.06379;-6.6;0.005004;-45.28;0.02;99.54;0.08;99.54;6.631;6.601;0.03026;8.216;8.196;-15.192;0.50;179.96;
2026-01-22 14:32:35.24;0.00:00:03:326;-0.01;-1.00;0.00;6.631;-0.06254;-6.6;0.005113;-45.27;0.02;99.53;0.08;99.53;6.631;6.6;0.03143;8.216;8.195;-15.026;0.50;179.96;
2026-01-22 14:32:35.29;0.00:00:03:376;-0.01;-1.00;0.00;6.627;-0.0625;-6.594;0.004626;-45.27;0.02;99.52;0.07;99.52;6.627;6.595;0.03179;8.213;8.192;-14.977;0.50;179.96;
2026-01-22 14:32:35.34;0.00:00:03:425;-0.01;-1.00;0.00;6.62;-0.06299;-6.59;0.004743;-45.27;0.02;99.54;0.07;99.54;6.62;6.59;0.03055;8.209;8.189;-15.150;0.50;179.96;
2026-01-22 14:32:35.39;0.00:00:03:474;-0.01;-1.00;0.00;6.624;-0.06251;-6.594;0.004826;-45.27;0.02;99.56;0.07;99.56;6.624;6.594;0.02945;8.211;8.192;-15.309;0.50;179.96;
2026-01-22 14:32:35.43;0.00:00:03:522;-0.01;-1.00;0.00;6.628;-0.06336;-6.597;0.004808;-45.28;0.02;99.54;0.07;99.54;6.628;6.597;0.03054;8.214;8.194;-15.152;0.50;179.96;
2026-01-22 14:32:35.48;0.00:00:03:571;-0.01;-1.00;0.00;6.627;-0.06335;-6.596;0.00553;-45.28;0.02;99.54;0.08;99.54;6.627;6.596;0.0306;8.213;8.193;-15.143;0.50;179.95;
2026-01-22 14:32:35.53;0.00:00:03:618;-0.01;-1.00;0.00;6.624;-0.06244;-6.593;0.004647;-45.27;0.02;99.54;0.07;99.54;6.624;6.593;0.03074;8.211;8.191;-15.123;0.50;179.96;
2026-01-22 14:32:35.58;0.00:00:03:668;-0.01;-1.00;0.00;6.625;-0.06304;-6.595;0.004928;-45.27;0.02;99.56;0.07;99.56;6.625;6.595;0.02944;8.212;8.192;-15.311;0.50;179.96;
2026-01-22 14:32:35.63;0.00:00:03:718;-0.01;-1.00;0.00;6.628;-0.06252;-6.597;0.004508;-45.27;0.02;99.54;0.07;99.54;6.628;6.597;0.03079;8.214;8.193;-15.116;0.50;179.96;
2026-01-22 14:32:35.68;0.00:00:03:765;-0.01;-1.00;0.00;6.629;-0.06314;-6.598;0.004783;-45.27;0.02;99.54;0.07;99.54;6.629;6.598;0.03038;8.214;8.194;-15.174;0.50;179.96;
2026-01-22 14:32:35.73;0.00:00:03:813;-0.01;-1.00;0.00;6.621;-0.0619;-6.588;0.004913;-45.27;0.02;99.51;0.07;99.51;6.621;6.588;0.03223;8.209;8.188;-14.917;0.50;179.96;
2026-01-22 14:32:35.77;0.00:00:03:861;-0.01;-1.00;0.00;6.614;-0.06204;-6.582;0.004945;-45.27;0.02;99.52;0.07;99.52;6.614;6.582;0.03165;8.204;8.184;-14.996;0.50;179.96;
2026-01-22 14:32:35.82;0.00:00:03:908;-0.01;-1.00;0.00;6.609;-0.06189;-6.578;0.004692;-45.27;0.02;99.52;0.07;99.52;6.609;6.578;0.03142;8.202;8.181;-15.028;0.50;179.96;
2026-01-22 14:32:35.87;0.00:00:03:959;-0.01;-1.00;0.00;6.612;-0.06272;-6.583;0.004643;-45.27;0.02;99.55;0.07;99.55;6.612;6.583;0.02967;8.204;8.184;-15.277;0.50;179.96;
2026-01-22 14:32:35.92;0.00:00:04:006;-0.01;-1.00;0.00;6.616;-0.06267;-6.585;0.004607;-45.27;0.02;99.54;0.07;99.54;6.616;6.585;0.03065;8.206;8.186;-15.136;0.50;179.96;
2026-01-22 14:32:35.97;0.00:00:04:055;-0.01;-1.00;0.00;6.619;-0.06326;-6.589;0.004796;-45.28;0.02;99.54;0.07;99.54;6.619;6.589;0.03015;8.208;8.188;-15.208;0.50;179.96;
2026-01-22 14:32:36.02;0.00:00:04:106;-0.01;-1.00;0.00;6.622;-0.06332;-6.592;0.005029;-45.28;0.02;99.55;0.08;99.55;6.622;6.592;0.0298;8.210;8.190;-15.258;0.50;179.96;
2026-01-22 14:32:36.07;0.00:00:04:158;-0.01;-1.00;0.00;6.624;-0.06244;-6.593;0.00489;-45.27;0.02;99.54;0.07;99.54;6.624;6.594;0.03062;8.211;8.191;-15.140;0.50;179.96;
2026-01-22 14:32:36.12;0.00:00:04:208;-0.01;-1.00;0.00;6.625;-0.06312;-6.595;0.005339;-45.27;0.02;99.55;0.08;99.55;6.625;6.595;0.02974;8.212;8.192;-15.266;0.50;179.95;
2026-01-22 14:32:36.17;0.00:00:04:259;-0.01;-1.00;0.00;6.627;-0.06216;-6.596;0.004688;-45.27;0.02;99.53;0.07;99.53;6.627;6.596;0.0314;8.213;8.193;-15.031;0.50;179.96;
2026-01-22 14:32:36.22;0.00:00:04:309;-0.01;-1.00;0.00;6.627;-0.06266;-6.595;0.004972;-45.27;0.02;99.53;0.08;99.53;6.627;6.596;0.03111;8.213;8.193;-15.071;0.50;179.96;
2026-01-22 14:32:36.27;0.00:00:04:358;-0.01;-1.00;0.00;6.628;-0.06232;-6.597;0.005104;-45.27;0.02;99.53;0.08;99.53;6.628;6.597;0.03094;8.214;8.193;-15.095;0.50;179.96;
2026-01-22 14:32:36.32;0.00:00:04:407;-0.01;-1.00;0.00;6.625;-0.06225;-6.594;0.00473;-45.27;0.02;99.54;0.07;99.54;6.625;6.594;0.03066;8.212;8.192;-15.134;0.50;179.96;
2026-01-22 14:32:36.37;0.00:00:04:455;-0.01;-1.00;0.00;6.629;-0.06419;-6.6;0.004914;-45.28;0.02;99.57;0.07;99.57;6.629;6.601;0.02847;8.215;8.196;-15.455;0.50;179.96;
2026-01-22 14:32:36.42;0.00:00:04:504;-0.01;-1.00;0.00;6.636;-0.06328;-6.606;0.005124;-45.27;0.02;99.55;0.08;99.55;6.636;6.606;0.02964;8.219;8.199;-15.282;0.50;179.96;
2026-01-22 14:32:36.47;0.00:00:04:552;-0.01;-1.00;0.00;6.638;-0.06284;-6.609;0.005063;-45.27;0.02;99.56;0.08;99.56;6.638;6.609;0.02892;8.220;8.201;-15.388;0.50;179.96;
2026-01-22 14:32:36.51;0.00:00:04:601;-0.01;-1.00;0.00;6.643;-0.06329;-6.613;0.004607;-45.27;0.02;99.56;0.07;99.56;6.643;6.614;0.02918;8.224;8.204;-15.349;0.50;179.96;
2026-01-22 14:32:36.56;0.00:00:04:649;-0.01;-1.00;0.00;6.645;-0.06333;-6.614;0.004665;-45.27;0.02;99.54;0.07;99.54;6.645;6.614;0.0305;8.225;8.205;-15.158;0.50;179.96;
2026-01-22 14:32:36.61;0.00:00:04:697;-0.01;-1.00;0.00;6.641;-0.06236;-6.61;0.004658;-45.27;0.02;99.54;0.07;99.54;6.641;6.61;0.03088;8.222;8.202;-15.104;0.50;179.96;
2026-01-22 14:32:36.66;0.00:00:04:746;-0.01;-1.00;0.00;6.64;-0.06267;-6.61;0.005116;-45.27;0.02;99.55;0.08;99.55;6.64;6.611;0.02975;8.222;8.202;-15.265;0.50;179.96;
2026-01-22 14:32:36.71;0.00:00:04:797;-0.01;-1.00;0.00;6.639;-0.06392;-6.611;0.004547;-45.28;0.02;99.57;0.07;99.57;6.639;6.611;0.02824;8.221;8.203;-15.491;0.50;179.96;
2026-01-22 14:32:36.76;0.00:00:04:845;-0.01;-1.00;0.00;6.644;-0.0631;-6.613;0.004978;-45.27;0.02;99.54;0.07;99.54;6.644;6.614;0.0305;8.224;8.204;-15.157;0.50;179.96;
2026-01-22 14:32:36.81;0.00:00:04:893;-0.01;-1.00;0.00;6.631;-0.06281;-6.601;0.004401;-45.27;0.02;99.55;0.07;99.55;6.631;6.601;0.03013;8.216;8.196;-15.210;0.50;179.96;
2026-01-22 14:32:36.86;0.00:00:04:943;-0.01;-1.00;0.00;6.632;-0.06251;-6.6;0.005004;-45.27;0.02;99.52;0.08;99.52;6.632;6.6;0.03213;8.217;8.196;-14.930;0.50;179.96;
2026-01-22 14:32:36.90;0.00:00:04:991;-0.01;-1.00;0.00;6.629;-0.06313;-6.598;0.004912;-45.27;0.02;99.54;0.07;99.54;6.629;6.598;0.03073;8.214;8.194;-15.124;0.50;179.96;
2026-01-22 14:32:36.95;0.00:00:05:040;-0.01;-1.00;0.00;6.626;-0.06263;-6.594;0.004494;-45.27;0.02;99.54;0.07;99.54;6.626;6.595;0.0308;8.212;8.192;-15.114;0.50;179.96;
2026-01-22 14:32:37.00;0.00:00:05:089;-0.01;-1.00;0.00;6.624;-0.06248;-6.593;0.004888;-45.27;0.02;99.54;0.07;99.54;6.624;6.593;0.03061;8.211;8.191;-15.141;0.50;179.96;
2026-01-22 14:32:37.05;0.00:00:05:137;-0.01;-1.00;0.00;6.628;-0.06371;-6.598;0.004822;-45.28;0.02;99.56;0.07;99.56;6.628;6.598;0.02919;8.214;8.194;-15.347;0.50;179.96;
2026-01-22 14:32:37.10;0.00:00:05:185;-0.01;-1.00;0.00;6.628;-0.06321;-6.597;0.004645;-45.27;0.02;99.54;0.07;99.54;6.628;6.598;0.03067;8.214;8.194;-15.133;0.50;179.96;
2026-01-22 14:32:37.14;0.00:00:05:231;-0.01;-1.00;0.00;6.636;-0.06232;-6.605;0.004945;-45.27;0.02;99.54;0.07;99.54;6.636;6.605;0.0306;8.219;8.199;-15.142;0.50;179.96;
2026-01-22 14:32:37.19;0.00:00:05:279;-0.01;-1.00;0.00;6.633;-0.06297;-6.602;0.004878;-45.27;0.02;99.53;0.07;99.53;6.633;6.603;0.03091;8.217;8.197;-15.100;0.50;179.96;
2026-01-22 14:32:37.24;0.00:00:05:329;-0.01;-1.00;0.00;6.628;-0.06306;-6.598;0.004405;-45.27;0.02;99.56;0.07;99.56;6.628;6.599;0.02939;8.214;8.195;-15.317;0.50;179.96;
2026-01-22 14:32:37.29;0.00:00:05:377;-0.01;-1.00;0.00;6.634;-0.06294;-6.604;0.004873;-45.27;0.02;99.56;0.07;99.56;6.634;6.605;0.02924;8.218;8.198;-15.340;0.50;179.96;
2026-01-22 14:32:37.34;0.00:00:05:425;-0.01;-1.00;0.00;6.635;-0.06246;-6.604;0.004942;-45.27;0.02;99.55;0.07;99.55;6.635;6.605;0.03011;8.218;8.198;-15.213;0.50;179.96;
2026-01-22 14:32:37.39;0.00:00:05:475;-0.01;-1.00;0.00;6.633;-0.0634;-6.604;0.004792;-45.28;0.02;99.57;0.07;99.57;6.633;6.604;0.02871;8.217;8.198;-15.420;0.50;179.96;
2026-01-22 14:32:37.44;0.00:00:05:527;-0.01;-1.00;0.00;6.639;-0.06259;-6.609;0.005145;-45.27;0.02;99.55;0.08;99.55;6.639;6.609;0.0299;8.221;8.201;-15.243;0.50;179.96;
2026-01-22 14:32:37.49;0.00:00:05:577;-0.01;-1.00;0.00;6.643;-0.06228;-6.612;0.004875;-45.27;0.02;99.54;0.07;99.54;6.643;6.612;0.03084;8.224;8.203;-15.109;0.50;179.96;
2026-01-22 14:32:37.54;0.00:00:05:624;-0.01;-1.00;0.00;6.64;-0.06203;-6.609;0.004747;-45.27;0.02;99.53;0.07;99.53;6.64;6.609;0.03109;8.222;8.201;-15.074;0.50;179.96;
2026-01-22 14:32:37.59;0.00:00:05:676;-0.01;-1.00;0.00;6.638;-0.06241;-6.607;0.004608;-45.27;0.02;99.55;0.07;99.55;6.638;6.607;0.03015;8.220;8.200;-15.207;0.50;179.96;
2026-01-22 14:32:37.64;0.00:00:05:727;-0.01;-1.00;0.00;6.637;-0.06228;-6.605;0.005389;-45.27;0.02;99.53;0.08;99.53;6.637;6.606;0.031;8.219;8.199;-15.086;0.50;179.95;
2026-01-22 14:32:37.69;0.00:00:05:772;-0.01;-1.00;0.00;6.632;-0.06261;-6.601;0.00507;-45.27;0.02;99.54;0.08;99.54;6.632;6.601;0.0306;8.216;8.196;-15.143;0.50;179.96;
